Enfermedad,Persona,frase,num_ind,indicador,dimension,contiene_indicador
Cáncer ,Primera Persona ,"Las sesiones me sirven para disipar miedos, para obtener información experta de cómo afrontar algunas situaciones personales y familiares, y sobre todo me han ayudado para aceptar que me ha tocado sufrir esta enfermedad",1,aceptación enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"y que no ha sido por mi culpa, sino porque forma parte de la vida misma.",0,,,0
Cáncer ,Primera Persona ,"Así, he aprendido a ver la vida de otra manera",1,evaluación positiva,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,", y a darle menos importancia a cosas por las que antes podía enfadarme",2,relativización,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,", y a darle menos importancia a cosas por las que antes podía enfadarme",2,desarrollo personal,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,Hay que destacar el innegable bastión que entraña el papel de la familia a lo largo de todo el proceso,1,satisfacción apoyo social familiar,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,"Tu familia lo es todo: a la hora de encajar el primer tortazo, a la hora de organizar la pelea, a la hora de luchar cada día… Es tu principal ejército",1,satisfacción apoyo social familiar,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,"Echar mano de tu gente, de tus amistades, compartiendo con ellos el día a día,",1,búsqueda apoyo social emocional,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,sin duda contribuye a mantener una actitud positiva,1,optimismo,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,y colaboradora hacia los tratamientos,1,adherencia tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,"Soy Maite Arenas, una paciente curada",1,remisión enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,de un carcinoma epidermoide infiltrado en cuerda vocal izquierda.,0,,,0
Cáncer ,Primera Persona ,"Muchos no sabrán qué es esta enfermedad, yo tampoco lo sabía cuando me la diagnosticaron, y lo más importante que lograría curarme",1,remisión enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,y que 12 años después mi vida habría cambiado por completo.,0,,,0
Cáncer ,Primera Persona ,No fue fácil llegar a este diagnóstico,1,dificultad proceso diagnóstico,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,", ya que yo no era una “paciente tipo”: no fumaba, ni bebía, ni tenía una profesión de riesgo.",0,,,0
Cáncer ,Primera Persona ,"Todo empezó en el año 2002 me tuvieron que realizar una tirotomía total y al recuperarme de la intervención empecé a tener perdidas de voz intermitentes, este síntoma hizo que durante tres años tuviera que ir de otorrino en otorrino pensando que podía ser una secuela de la propia extirpación del tiroides.",0,,,0
Cáncer ,Primera Persona ,Nadie le dio importancia pero volví a intervenirme para ponerme un implante de grasa en una de las cuerdas vocales para recuperar la voz y ahí el cirujano sospechó que algo no iba bien y tomó una muestra para hacerme una biopsia.,0,,,0
Cáncer ,Primera Persona ,"El resultado fue “carcinoma epidermoide infiltrado” y como mi padre era médico, le pregunté que era eso, y me dijo: “Hija tienes cáncer”.",0,,,0
Cáncer ,Primera Persona ,Así me enteré de lo que me pasaba.,0,,,0
Cáncer ,Primera Persona ,Ninguno de los especialistas que me habían visto sospechó nunca lo que tenía,1,dificultad diagnóstico,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Quizás fue así porque no respondía al prototipo de paciente de cáncer de cabeza y cuello.,0,,,0
Cáncer ,Primera Persona ,Tener que volver a aprender a hablar,1,afrontamiento centrado problema,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"No fue la enfermedad lo que me cambió la vida, sino la secuela que me dejó la cirugía: una laringotomía total.",0,,,0
Cáncer ,Primera Persona ,En un primer momento me negué a la intervención,1,negación implicación,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,", nunca había visto mujeres operadas de este tipo de tumor y los hombres que había conocido eran mayores, fumadores y su calidad de recuperación no me parecía muy buena",1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,Así que pedí a mi médico que primero me hicieran un tratamiento de radioterapia para no tener que llegar a la extirpación de la laringe,1,afrontamiento centrado problema,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", pero el tratamiento en mi caso no dio los resultados esperados, así que no me quedó más remedio que ir a una cirugía de rescate y en julio de 2005 me extirparon la laringe y 25 ganglios del lado izquierdo.",0,,,0
Cáncer ,Primera Persona ,"La cicatrización se complicó, tuve fistulas y lo que iba a durar unos 15 días de ingreso se convirtieron en 40 y con una sonda nasogástrica durante tres meses",1,complicación tratamiento,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Esto no era como yo me esperaba y veía que la recuperación no iba a ser tan sencilla como me imaginaba,1,incertidumbre,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,"Había perdido la voz, el gusto y el olfato poco a poco y la comunicación era muy complicada",3,limitaciones dominio físico: voz,Dimensión 1: Physical Functioning,1
Cáncer ,Primera Persona ,"Había perdido la voz, el gusto y el olfato poco a poco y la comunicación era muy complicada",3,gusto,Unclassified,1
Cáncer ,Primera Persona ,"Había perdido la voz, el gusto y el olfato poco a poco y la comunicación era muy complicada",3,olfato comunicación,Unclassified,1
Cáncer ,Primera Persona ,Tenía que volver aprender hablar y a comunicarme de forma diferente.,0,,,0
Cáncer ,Primera Persona ,Mi mayor sorpresa fue que no había,1,decepción,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,un protocolo multidisciplinar para la rehabilitación de este tipo de pacientes,1,falta apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Tardé un tiempo en buscarme un buen foniatra y un equipo de logopedas,1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,", que en solo 22 días me enseñaron a emitir los primeros sonidos y a empezar hablar con el esfínter esofágico.",0,,,0
Cáncer ,Primera Persona ,"También me busqué un preparador físico para ponerme en forma: los hombros, el cuello y los brazos",1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Sigo yendo al fisioterapeuta una vez a la semana para quitarme el dolor crónico de cuello y hombros,1,dolor crónico,Dimensión 1: Physical Functioning,1
Cáncer ,Primera Persona ,Pero lo que nadie me dijo es que necesitaría ayuda psicológica para aceptar las secuelas y rehacer mi vida de forma diferente,1,búsqueda apoyo profesional psicológico,Dimensión 9: Healthcare Interaction,1
Cáncer ,Primera Persona ,Tuve que asistir a una terapia grupal de mujeres con diferentes cánceres que me ayudó mucho a verbalizar todo mi dolor y mis emociones,2,búsqueda apoyo social emocional,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,Tuve que asistir a una terapia grupal de mujeres con diferentes cánceres que me ayudó mucho a verbalizar todo mi dolor y mis emociones,2,expresión emocional,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,"No me ven como una paciente curada 
 
He aprendido a hablar de forma diferente, con muy buena calidad de voz",1,adaptación,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,y a que los demás vean mi agujero en el cuello como algo más de mi personalidad,1,normalización implicaciones enfermedad,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,Pero jamás pensé que sería permanentemente juzgada por la sociedad,1,estigmatización social,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,"Era una persona deportista, no fumadora ni bebedora, con una vida completamente sana y me tocó padecer un tipo de cáncer que conlleva que todo el mundo piense que eres fumadora y con una vida poco saludable estigmatización social]",0,,,0
Cáncer ,Primera Persona ,"En definitiva, supone el esfuerzo extra de dar permanentemente explicaciones sobre una enfermedad que no me he buscado sino que me llegó como a otros les toca otras muchas enfermedades.",0,,,0
Cáncer ,Primera Persona ,Nadie me ve como una persona curada.,0,,,0
Cáncer ,Primera Persona ,"Es duro enfrentarte al día a día cuando vas al supermercado, a la gasolinera o en el autobús y siempre te encuentras con que te preguntan que qué me pasa en la voz.",0,,,0
Cáncer ,Primera Persona ,No es fácil tener que oír el mensaje “Nunca he visto una mujer operada como usted”.,0,,,0
Cáncer ,Primera Persona ,Es difícil estar siempre preparada para cualquier comentario o para las continuas miradas que hacen que tu vida sea muy estresante,2,estigmatización,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,Es difícil estar siempre preparada para cualquier comentario o para las continuas miradas que hacen que tu vida sea muy estresante,2,incomprensión social,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,Al principio lloraba mucho al salir a la calle,1,llanto,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,hasta que me di cuenta que el problema era mío y no de los demás,1,aceptación responsabilidad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"Yo había cambiado y la mejor terapia era olvidar mi pasado, vivir el presente y no pensar en el futuro",1,vivencia momento presente,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,He aprendido que a lo largo de la vida las personas superan enfermedades,1,desarrollo personal,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", de unas te curas sin secuelas visibles, de otras las secuelas que deja la enfermedad son tan evidentes que hacen que tu esfuerzo ante la sociedad sea mayor.",0,,,0
Cáncer ,Primera Persona ,Me hace mucha gracia como en mis viajes se me acercan personas para contarme que ellas también han padecido un cáncer,1,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,y como no se les ven sus secuelas se sienten en la obligación de comunicarse conmigo para empatizar con mi situación,1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,"Terminan contándome su historia clínica y me dicen : “¡Qué duro es el agujero en el cuello!”, mi seña de identidad",1,satisfacción apoyo social emocional,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,He comprendido por qué a muchos pacientes les cuesta mucho salir de casa y terminan encerrándose.,0,,,0
Cáncer ,Primera Persona ,Esta secuela hace que tengas que aprender a gestionar la soledad y la tristeza para no sufrir más de lo necesario,3,afrontamiento centrado emoción,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,Esta secuela hace que tengas que aprender a gestionar la soledad y la tristeza para no sufrir más de lo necesario,3,soledad,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,Esta secuela hace que tengas que aprender a gestionar la soledad y la tristeza para no sufrir más de lo necesario,3,tristeza,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,No tener una preparación intelectual y medios económicos hace que muchos de estos pacientes no lleguen a comprender bien lo que supone esta cirugía y que confundan la propia enfermedad con la secuela.,0,,,0
Cáncer ,Primera Persona ,"Incluso algunos pacientes que son largos supervivientes, con más de 15 o 20 años de control de la enfermedad, no se consideran curados y creen que la laringotomía es la enfermedad y no la secuela que le ha dejado",1,comparación social,Dimensión 6: Social Functioning,1
Cáncer ,Primera Persona ,"No juzgar a los pacientes de cáncer de cabeza y cuello 
 
Pido a todos que cuando veáis a pacientes de cáncer de cabeza y cuello, con secuelas evidentes que no podemos ocultar, no se nos juzgue y se nos vea como personas que hemos logrado superar la enfermedad y sus secuelas",2,necesidad educar concienciar acerca enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"No juzgar a los pacientes de cáncer de cabeza y cuello 
 
Pido a todos que cuando veáis a pacientes de cáncer de cabeza y cuello, con secuelas evidentes que no podemos ocultar, no se nos juzgue y se nos vea como personas que hemos logrado superar la enfermedad y sus secuelas",2,estigmatización,Dimensión 7: Role Limitations due to Emotional Problems,1
Cáncer ,Primera Persona ,Mi vida hoy es fantástica,1,evaluación positiva,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,", viajo por todo el mundo y estoy trabajando activamente en mejorar la calidad de vida de los pacientes de cabeza y cuello.",0,,,0
Cáncer ,Primera Persona ,Me siento realizada con esta labor y mi “nueva vida”,1,desarrollo personal,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"Mi mayor reivindicación es que se llegue a un buen protocolo de rehabilitación para los pacientes con esta enfermedad que incluya especialistas como: logopedas, fisioterapeutas, psicólogos y trabajadores sociales.",0,,,0
Cáncer ,Primera Persona ,,1,necesidad coordinación médica,Dimensión 9: Healthcare Interaction,1
Epilepsia ,Primera Persona ,Desde muy pequeña ya empecé a adentrarme en el mundo de la epilepsia porque mi padre la padece.,0,,,0
Epilepsia ,Primera Persona ,"A mí me la diagnosticaron a la edad de 15 años, pero debido a su historial, creía que sabía todo aquello que debía saber.",0,,,0
Epilepsia ,Primera Persona ,"Cuando conocí a un epileptólogo, aprendí mucho más sobre la epilepsia y me di cuenta de mi error.",0,,,0
Epilepsia ,Primera Persona ,Me volví más proactiva con mis cuidados de salud y busqué un mejor tratamiento,1,afrontamiento centrado problema,Dimensión 5: Vitality,1
Epilepsia ,Primera Persona ,Ahora tengo una mejor percepción sobre la epilepsia y cuento con un magnífico médico que sabe escucharme,1,satisfacción comunicación médico-paciente,Dimensión 9: Healthcare Interaction,1
Epilepsia ,Primera Persona ,Comparto mi experiencia,1,expresión emocional,Dimensión 7: Role Limitations due to Emotional Problems,1
Epilepsia ,Primera Persona ,y fomento la percepción de llevar una buena vida conviviendo con la epilepsia.,0,,,0
Epilepsia ,Primera Persona ,La educación es la clave de la comprensión,1,afrontamiento centrado problema: formación,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,"Desde que hace un año me detectaron un tumor en el pecho, me operaron y me sometí a un tratamiento oncológico, mi manera de tomarme la vida en general ha cambiado",2,desarrollo personal: dejado preocuparme cosas importancia,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"Desde que hace un año me detectaron un tumor en el pecho, me operaron y me sometí a un tratamiento oncológico, mi manera de tomarme la vida en general ha cambiado",2,disfruto pequeñas cosas [evaluación positiva-disfrute,Unclassified,1
Cáncer ,Primera Persona ,", cuido mi alimentación mucho más de lo que lo hacía antes",1,afrontamiento centrado problema-alimentación,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,e intento ser sumamente positiva,1,evaluación positiva,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,La actitud mental es básica en estos procesos y esa actitud te lleva a relativizar todos los tropiezos que nos encontramos en el camino,1,relativización,Dimensión 8: Mental Health,1
Cáncer ,Primera Persona ,"Con el cáncer me he dado cuenta, que he podido superar muchas situaciones, miedos y bloqueos que tenía",1,desarrollo personal,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,", que con optimismo",1,optimismo,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"se sobrelleva todo mejor, que es muy importante saber escuchar a nuestro cuerpo",1,conciencia enfermedad,Dimensión 4: General Health Perceptions,1
Cáncer ,Primera Persona ,", que los cambios cuestan, pero valen la pena",1,espíritu lucha,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,"y, sobre todo, que ahora valoro cada instante que vivo, cada momento que río y cada sentimiento de amor que siento",1,disfrute momento presente,Dimensión 5: Vitality,1
Cáncer ,Primera Persona ,Vivamos y no esperemos a que nos llegue un cáncer para darnos cuenta de estas cosas,1,vivencia momento presente,Dimensión 6: Social Functioning,1
Diabetes ,Tercera Persona ,"A Eva le descubrieron la diabetes en el embarazo, en un primer momento tanto ella como su doctora pensaron que podía ser una diabetes del tipo gestacional.",0,,,0
Diabetes ,Tercera Persona ,"Sin embargo, unos meses después del nacimiento de su hija, se confirmó el diagnóstico",1,confirmación diagnóstico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,de diabetes tipo 2.,0,,,0
Diabetes ,Tercera Persona ,Ella considera que posiblemente antes del embarazo ya tenía unos niveles altos de azúcar en sangre y que se encontraba en los límites de la diabetes.,0,,,0
Diabetes ,Tercera Persona ,"En el momento del diagnóstico, Eva asociaba la diabetes con tener que pincharse insulina por lo que le daba mucho miedo la enfermedad",1,miedo,Dimensión 7: Role Limitations due to Emotional Problems,1
Diabetes ,Tercera Persona ,Durante el embarazo le recomendaron una dieta especial,1,afrontamiento centrado problema: dieta,Unclassified,1
Diabetes ,Tercera Persona ,"Cuando se confirmó que la diabetes no era gestacional la doctora le indicó tratamiento con pastillas, además de mantener una dieta equilibrada y de practicar ejercicio físico",1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Se ha apuntado a clases de bailes regionales, clásico, español y flamenco como forma de ejercicio, además de caminar.",0,,,0
Diabetes ,Tercera Persona ,La doctora le ha recomendado hacer además otro tipo de ejercicio que reafirme la musculatura,1,afrontamiento centrado problema: actividad física,Dimensión 1: Physical Functioning,1
Diabetes ,Tercera Persona ,"Considera que el hecho de tener sobrepeso en el momento del diagnóstico, pudo ser uno de los motivos de la aparición de la diabetes.",0,,,0
Diabetes ,Tercera Persona ,Además piensa que su trabajo en la hostelería impedía que tuviera unos hábitos alimenticios saludables.,0,,,0
Diabetes ,Tercera Persona ,"Actualmente, siguiendo las prescripciones de la doctora",1,adherencia tratamiento,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,está bajando de peso y ha cambiado de empleo,1,cambio laboral,Dimensión 7: Role Limitations due to Emotional Problems,1
Diabetes ,Tercera Persona ,"Tanto su familia como la doctora de atención primaria que la trata, son un apoyo fundamental",2,satisfacción apoyo emocional familiar,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"Tanto su familia como la doctora de atención primaria que la trata, son un apoyo fundamental",2,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"y le dan mucha energía y ánimo, aprendiendo poco a poco a llevar esta situación de la mejor manera posible.",0,,,0
Diabetes ,Tercera Persona ,A Felipe le diagnostican la diabetes en 2006,1,diagnóstico enfermedad,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,Empezó a sentir algunos síntomas,1,conciencia primeros síntomas,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"que le alertaron de que su cuerpo no funcionaba con normalidad: mucha sed, ganas de orinar, hambre y calor en el cuerpo",1,conciencia primeros síntomas,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"Todos estos síntomas junto con los antecedentes familiares de diabetes, le hicieron sospechar que podría tener esta enfermedad",1,conciencia síntomas,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,Al poco tiempo fue al centro de salud para que le hicieran las pruebas necesarias,1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"y descubrió que sus niveles de azúcar llegaban a 500 mg/dl, por lo que le ingresaran en el hospital inmediatamente para observarlo y controlarle",1,afrontamiento centrado problema,Dimensión 5: Vitality,1
Diabetes ,Tercera Persona ,"Felipe considera que en el momento del diagnóstico llevaba unos hábitos de vida saludables, atribuyendo la aparición de la diabetes a causas emocionales",1,culpabilización,Dimensión 8: Mental Health,1
Diabetes ,Tercera Persona ,Su primera preocupación después del diagnóstico fue su situación económica,1,dificultades económicas,Dimensión 7: Role Limitations due to Emotional Problems,1
Diabetes ,Tercera Persona ,y laboral,1,dificultades laborales,Dimensión 3: Bodily Pain,1
Diabetes ,Tercera Persona ,debido a su condición de trabajador autónomo la que le exige un esfuerzo físico importante.,0,,,0
Diabetes ,Tercera Persona ,Lo que más le costó al principio fue aprender a pincharse la insulina,1,dificultades tratamiento,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,", pero con el tiempo lo vive con normalidad",1,normalización tratamiento,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,Felipe valora positivamente la labor de la enfermera educadora en diabetes,1,satisfacción apoyo profesional,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,En cuanto a los especialistas de endocrino en los hospitales considera que no le han podido atender con el detenimiento que su caso requeriría,1,falta apoyo profesional,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,", debido fundamentalmente a la falta de medios materiales, sobrecarga laboral y la falta de demanda de los pacientes hacia el sistema sanitario",1,falta apoyo/recursos profesionales,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Felipe considera que con la diabetes se puede llevar una vida completamente normal, siempre y cuando se controle la dieta y se realice ejercicio físico.",0,,,0
Diabetes ,Tercera Persona ,,1,adherencia tratamiento: dieta actividad física,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Xavier afirma que no sentía ningún síntoma que le hiciera pensar que tenía diabetes, sin embargo, siempre pensó que en cualquier momento podía desarrollarla debido a que su abuela fue diabética y conocía el carácter hereditario de la enfermedad",2,incertidumbre,Dimensión 8: Mental Health,1
Diabetes ,Tercera Persona ,"Xavier afirma que no sentía ningún síntoma que le hiciera pensar que tenía diabetes, sin embargo, siempre pensó que en cualquier momento podía desarrollarla debido a que su abuela fue diabética y conocía el carácter hereditario de la enfermedad",2,preocupación componente genético,Dimensión 8: Mental Health,1
Diabetes ,Tercera Persona ,"Considera que el hecho de no tener síntomas claros en sus primeras etapas, puede ser peligroso y podría haber muchas personas que no saben que tienen diabetes porque puede pasar inadvertido como le sucedió a él.",0,,,0
Diabetes ,Tercera Persona ,"Después del diagnóstico, Xavier se tomó con seriedad el hecho de hacer ejercicio físico y controlar la dieta",1,adherencia tratamiento: dieta actividad física,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Periódicamente, en estos cinco años, ha logrado disminuir su peso en unos 2025 kilos disminuyendo el consumo de dulces e incorporando más consumo de frutas, lo cual considera que ha sido muy bueno para su salud",1,adherencia dieta,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Él piensa que el paciente con diabetes necesita concienciarse de su nueva situación, y darle mucha importancia a los cuidados en la alimentación y la práctica de ejercicio físico",1,adherencia tratamiento: dieta actividad física,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Considera que en su caso, desde el diagnóstico no le ha supuesto un cambio radical en su vida y que con el tiempo se aprende a vivir con la enfermedad.",0,,,0
Diabetes ,Tercera Persona ,,1,adaptación enfermedad,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"En junio del año 93, Francisco empezó a sentir mucha sequedad en la boca, bebía mucha agua y una “pesadez en el cuerpo” con sensación de cansancio",1,conciencia primeros síntomas: sequedad boca: pesadez cansancio,Dimensión 1: Physical Functioning,1
Diabetes ,Tercera Persona ,Reconoce ser reacio a acudir al médico por lo que fue retrasándolo hasta que finalmente decidió consultarlo,1,evitación búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,Su médico de cabecera le hizo varios análisis que confirmaron el diagnóstico de diabetes,1,confirmación diagnóstico diabetes,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,y le remitió al endocrino,1,derivación especialista médico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,En ese momento considera que la le enfocaron la enfermedad de forma pesimista,1,insatisfacción apoyo profesional médico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Buscando una segunda opinión acudió a un médico privado, indicándole que la causa de la diabetes venía provocada por su exceso de peso (en ese momento pesaba 160 kilos) y que con dieta y ejercicio podía controlar la diabetes mucho",1,búsqueda apoyo profesional: segunda opinión médica,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Le prescribieron un tratamiento con pastillas y le recomendaron que controlara la alimentación, señala que esto último es lo que más le costó porque es una persona a la que le gusta mucho los alimentos dulces",1,dificultad adherencia tratamiento: dieta,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,Después de seis meses con pastillas le realizaron un análisis que daba unos resultados desfavorables.,0,,,0
Diabetes ,Tercera Persona ,Le prescribieron insulina durante un tiempo teniendo muy buenos resultados,1,satisfacción tratamiento médico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Además logró bajar unos 30 kilos, siguiendo un estricto plan de comidas",1,satisfacción adherencia tratamiento: dieta,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"Tras esta mejoría, su médico optó por eliminar la insulina y volver a las pastillas",1,ajuste tratamiento,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,Francisco dejó de ser tan estricto durante unos años,1,reducción adherencia tratamiento,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Fue hace unos cinco o seis años, con el cambio de médico",1,búsqueda apoyo profesional,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"y posteriormente con el diagnóstico de diabetes de su mujer, está llevando un mejor control",1,adherencia tratamiento,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,Señala que se hace análisis generales cada seis meses con lo que considera que tiene un buen control de la enfermedad y de posibles complicaciones asociadas,1,seguimiento enfermedad consecuencias,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,Francisco considera importante que la persona diabética se informe sobre la enfermedad y evite los excesos,2,formación enfermedad,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,Francisco considera importante que la persona diabética se informe sobre la enfermedad y evite los excesos,2,adherencia tratamiento: hábitos vida saludables,Dimensión 4: General Health Perceptions,1
Diabetes ,Tercera Persona ,"Considera que lo más difícil es el cambio en los hábitos de vida que requiere la diabetes, sobre todo porque es como una enfermedad silenciosa que no manifiesta los síntomas de forma clara.",0,,,0
Diabetes ,Tercera Persona ,,1,dificultad diagnóstico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Milagros colabora desde hace unos años con la asociación de diabetes de su localidad, debido a que su madre y su hermana padecen también esta enfermedad.",0,,,0
Diabetes ,Tercera Persona ,"Fue a finales de agosto del 2008, cuando Milagros empezó a sentir algunos síntomas tales como picor en el cuerpo, sequedad en la boca y mucha sed y una sensación de intranquilidad",4,conciencia primeros síntomas: picor,Dimensión 3: Bodily Pain,1
Diabetes ,Tercera Persona ,"Fue a finales de agosto del 2008, cuando Milagros empezó a sentir algunos síntomas tales como picor en el cuerpo, sequedad en la boca y mucha sed y una sensación de intranquilidad",4,sequedad boca,Dimensión 1: Physical Functioning,1
Diabetes ,Tercera Persona ,"Fue a finales de agosto del 2008, cuando Milagros empezó a sentir algunos síntomas tales como picor en el cuerpo, sequedad en la boca y mucha sed y una sensación de intranquilidad",4,sed,Dimensión 1: Physical Functioning,1
Diabetes ,Tercera Persona ,"Fue a finales de agosto del 2008, cuando Milagros empezó a sentir algunos síntomas tales como picor en el cuerpo, sequedad en la boca y mucha sed y una sensación de intranquilidad",4,intranquilidad,Dimensión 8: Mental Health,1
Diabetes ,Tercera Persona ,Debido a que su marido también es diabético se midió el azúcar con el aparato que tenía en casa y descubrió unos niveles anormales,1,afrontamiento centrado problema,Dimensión 5: Vitality,1
Diabetes ,Tercera Persona ,Milagros se encontraba en un momento vital con mucho estrés,1,estrés,Dimensión 8: Mental Health,1
Diabetes ,Tercera Persona ,por problemas familiares,1,dificultades familiares,Dimensión 7: Role Limitations due to Emotional Problems,1
Diabetes ,Tercera Persona ,y laborales,1,dificultades laborales,Dimensión 3: Bodily Pain,1
Diabetes ,Tercera Persona ,"Esta situación le afectó su estado de ánimo que, según ella, pudo ser el detonante de la aparición de la diabetes.",0,,,0
Diabetes ,Tercera Persona ,"Para el control de la diabetes, en un principio le prescribieron pastillas",1,afrontamiento centrado problema: tratamiento farmacológico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,"Como poco después quedó embarazada, ha cambiado el tratamiento por la insulina (Humalog)",1,cambio tratamiento farmacológico,Dimensión 9: Healthcare Interaction,1
Diabetes ,Tercera Persona ,En un primer momento fue reacia a la administración de insulina,1,evitación tratamiento farmacológico,Dimensión 9: Healthcare Interaction,1
